tokens,bio_tags,sentiment_tags
"['i', 'never', 'button', 'up', 'my', 'cardigan', ',', 'but', 'if', 'you', 'do', ',', 'you', 'may', 'want', 'to', 'size', 'up', 'a', 'couple', 'of', 'sizes', 'if', 'you', 'have', 'a', 'big', 'bust', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-chest', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['definitely', 'runs', 'small', ',', 'so', 'if', 'your', 'a', 'big', 'girl', 'go', 'a', 'size', 'up', '.']","['O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['it', 'runs', 'very', 'small', '.']","['O', 'O', 'O', 'B-overall', 'O']","['O', 'O', 'O', 'B-negative', 'O']"
"['i', 'tend', 'to', 'where', 'a', '2x', 'in', 'tops', ';', '3x', 'if', 'it', 'runs', 'small', ',', 'but', 'this', 'does', 'not', 'even', 'come', 'close', 'to', 'buttoning', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-buttoned', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['it', 'is', 'well', 'made', 'and', 'i', 'love', 'the', 'color', ',', 'but', 'it', 'is', 'also', 'a', 'bit', 'too', 'short', 'for', 'my', 'taste', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-length', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O']"
"['it', 'fits', 'perfect', '.']","['O', 'B-overall', 'O', 'O']","['O', 'O', 'O', 'O']"
"['i', 'can', 'wear', 'it', 'buttoned', 'up', 'or', 'left', 'open', 'a', 'sit', 'still', 'feels', 'fitted', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O']"
"['little', 'on', 'the', 'small', 'side', 'but', 'a', 'nice', 'basic', 'cute', 'cardigan', '.']","['O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'know', 'the', 'description', 'said', 'it', 'runs', 'small', 'so', 'i', 'ordered', 'the', 'next', 'size', 'up', ',', 'but', 'it', 'is', 'still', 'small', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall_indirect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['this', 'fits', 'very', 'small', '!']","['O', 'O', 'O', 'B-overall', 'O']","['O', 'O', 'O', 'B-negative', 'O']"
"['i', 'am', '135', 'pounds', 'but', 'like', 'my', 'cardigans', 'to', 'fit', 'just', 'right', ',', 'not', 'be', 'too', 'tight', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall_indirect', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['fits', 'rather', 'small', '.']","['O', 'O', 'B-overall', 'O']","['O', 'O', 'B-negative', 'O']"
"['only', 'complaint', 'is', 'it', 'runs', 'a', 'little', 'small']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative']"
"['i', 'would', 'recommend', 'to', 'order', 'a', 'size', 'up', 'if', 'you', 'plan', 'to', 'wear', 'it', 'buttoned', 'at', 'any', 'point', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-buttoned', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O']"
"['do', 'not', 'worry', 'about', 'it', 'being', 'baggy', 'or', 'loose', '?', 'it', 'looks', 'and', 'fits', 'just', 'right', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O']"
"['i', 'think', 'i', 'was', 'surprised', 'by', 'it', 'having', '3/4', 'sleeve', '?', 'keep', 'that', 'in', 'mind', ',', 'as', 'well', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-sleeve', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-neutral', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'am', 'glad', 'i', 'read', 'the', 'reviews', 'that', 'this', 'runs', 'a', 'bit', 'small', ',', 'so', 'i', 'bought', 'a', 'size', 'up', 'from', 'what', 'i', 'would', 'normally', 'choose', 'and', 'it', 'is', 'perfect', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall_indirect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['still', 'a', 'close', 'fit', 'with', 'negative', 'ease', ',', 'but', 'i', 'wanted', 'this', 'to', 'layer', 'over', 'dresses', 'and', 'tank', 'tops', 'and', 'it', 'is', 'perfect', 'for', 'that', '.']","['O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['it', 'is', 'a', 'but', 'small', 'and', 'it', 'gets', 'fuzzy', 'after', 'a', 'few', 'washes', 'but', 'it', 'goes', 'with', 'everything', '!']","['O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['the', 'small', 'is', 'quite', 'short', 'and', 'i', 'prefer', 'cardigans', 'slightly', 'longer', '.']","['O', 'O', 'O', 'O', 'B-length', 'O', 'O', 'O', 'O', 'O', 'B-length_indirect', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['also', ',', 'it', 'puckers', 'when', 'buttoned', '.']","['O', 'O', 'O', 'O', 'O', 'B-buttoned', 'O']","['O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['i', 'thought', 'it', 'was', 'a', 'little', 'small', 'i', 'should', 'of', 'gotten', 'a', '3x', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'am', 'a', 'small', 'or', 'extra', 'small', 'in', 'most', 'things', 'and', 'this', 'fits', 'like', 'a', 'small', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O']"
"['a', 'bit', 'on', 'the', 'small', 'side', 'and', 'it', 'does', 'pill', 'pretty', 'easily', '.']","['O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['the', 'fit', 'is', 'odd', ';', 'i', 'expected', 'this', 'to', 'be', 'baggy', 'on', 'me', 'but', 'it', 'fits', 'tight', '.']","['O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O']"
"['i', 'have', 'sized', 'up', 'from', 'a', '2x', 'to', 'a', '3x', 'on', 'my', 'cardigans', ',', 'and', 'they', 'fit', 'great', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O']"
"['runs', 'small', 'so', 'i', 'would', 'want', 'to', 'size', 'up', '.']","['O', 'B-overall_indirect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'would', 'normally', 'get', 'm', 'but', 'went', 'for', 'the', 'l', 'and', 'it', 'fits', 'well']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O']"
"['love', 'this', 'color', ',', 'a', 'little', 'tight', 'in', 'my', 'arms', ',', 'but', 'material', 'stretches']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-sleeve', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O']"
"['this', 'was', 'actually', 'pretty', 'tight', 'on', 'me', '.']","['O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O']"
"['the', 'color', 'is', 'stunning', ',', 'but', 'the', 'fit', 'just', 'does', 'not', 'work', 'on', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'was', 'expecting', 'it', 'to', 'fit', 'snuggly', 'based', 'off', 'the', 'reviews', 'i', 'read', ',', 'and', 'that', 'is', 'what', 'i', 'wanted', 'so', 'it', 'worked', 'out', 'perfectly', '!']","['O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['this', 'cardigan', 'runs', 'extremely', 'small', 'in', 'plus', 'size', 'i', 'am', 'usually', 'an', 'xl/1x', 'and', 'ordered', 'a', '2x', 'based', 'on', 'other', 'reviews', '.']","['O', 'O', 'O', 'O', 'B-overall_indirect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['it', 'was', 'still', 'small', 'so', 'i', 'exchanged', 'for', 'a', '3x', 'and', 'it', 'still', 'pulls', 'at', 'the', 'buttons', '.']","['O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-buttoned', 'O']","['O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['they', 'do', 'run', 'small', '.']","['O', 'O', 'O', 'B-overall_indirect', 'O']","['O', 'O', 'O', 'B-negative', 'O']"
"['i', 'ordered', 'the', 'small', 'according', 'to', 'the', 'sizing', 'chart', ',', 'but', 'it', 'was', 'a', 'little', 'tight', 'for', 'my', 'liking', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O']"
"['i', 'think', 'this', 'runs', 'a', 'bit', 'small', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-overall_indirect', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['i', 'am', 'normally', 'a', 'modcloth', 'small', 'in', 'shirts', 'and', 'dresses', ',', 'despite', 'my', 'bust', ',', 'but', 'the', 'medium', 'fits', 'perfectly', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-chest', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O']"
"['love', 'the', 'color', ',', 'and', 'the', 'fit', 'is', 'pretty', 'good']","['O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O']"
"['a', 'bit', 'small', 'fitting', 'but', 'doable']","['O', 'O', 'O', 'B-overall', 'O', 'O']","['O', 'O', 'O', 'B-negative', 'O', 'O']"
"['odd', 'fit', '(', 'huge', 'room', 'in', 'chest', 'department', ',', 'odd', 'given', 'my', '10es', 'i', 'think', 'that', 'is', 'a', '3940', 'chest', 'in', 'us', 'terms', '?']","['O', 'B-overall', 'O', 'O', 'O', 'O', 'B-chest', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-negative', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['but', 'the', 'first', 'cardigan', 'i', 'have', 'ever', 'found', 'that', 'sits', 'nicely', 'in', 'the', 'waist', 'hip', 'area', '(', 'waist', '32', ',', 'hips', 'around', '36', 'where', 'cardigan', 'ends', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-waist', 'B-hip', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['gorgeous', 'colour', ',', 'goes', 'well', 'under', 'winter', 'coats', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['the', 'medium', 'was', 'a', 'bit', 'small', 'and', 'the', 'buttons', 'look', 'odd', 'if', 'i', 'button', 'it', 'up', '.']","['O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['it', 'is', 'a', 'little', 'short', ',', 'and', 'mine', 'shrunk', ',', 'even', 'with', 'a', 'hand', 'wash.', 'the', 'fabric', 'is', 'still', 'really', 'soft', 'though', ',', 'even', 'though', 'i', 'wear', 'it', 'all', 'the', 'time', 'and', 'it', 'gets', 'washed', 'a', 'lot', '.']","['O', 'O', 'O', 'O', 'B-sleeve', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'love', 'the', 'fit', 'and', 'feel', 'of', 'this', 'cardigan', '.']","['O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'am', 'tall', 'and', 'it', 'is', 'short', 'waisted', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-length', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O']"
"['i', 'feel', 'that', 'it', 'is', 'a', 'little', 'short', 'and', 'on', 'the', 'smaller', 'side', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-length', 'O', 'O', 'O', 'B-overall', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'B-negative', 'O', 'O']"
"['although', 'the', 'length', 'is', 'perfect', ',', 'the', 'fit', 'is', 'definitely', 'on', 'the', 'smaller', 'side', ',', 'which', 'is', 'why', 'i', 'opted', 'for', 'a', 'medium', '.']","['O', 'O', 'B-length', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'think', 'a', 'small', 'would', 'have', 'been', 'tight', ',', 'but', 'then', 'i', 'never', 'wear', 'it', 'closed', 'anyway', 'so', 'it', 'would', 'probably', 'be', 'fine', 'to', 'go', 'either', 'way', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'sized', 'down', 'but', 'it', 'is', 'a', 'little', 'too', 'small', 'for', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O']"
"['it', 'was', 'still', 'too', 'small', 'across', 'the', 'chest', 'and', 'the', 'litle', 'band', 'in', 'front', 'was', 'a', 'zig', 'zag', 'when', 'buttoned', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-chest', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-buttoned', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['my', 'only', 'complaint', 'is', 'that', 'the', 'large', 'was', 'not', 'big', 'enough', 'to', 'button', 'over', 'my', 'chest', ',', 'but', 'that', 'is', 'nothing', 'new', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-buttoned', 'O', 'O', 'B-chest', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['it', 'is', 'very', 'big', 'and', 'roomy', '.']","['O', 'O', 'O', 'B-overall', 'O', 'O', 'O']","['O', 'O', 'O', 'B-negative', 'O', 'O', 'O']"
"['i', 'wanted', 'something', 'a', 'little', 'more', 'form', 'fitting', 'but', 'i', 'kept', 'it', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall_indirect', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O']"
"['beautiful', 'color', ',', 'nice', 'fit', 'but', 'i', 'was', 'really', 'disappointed', 'with', 'how', 'quickly', 'it', 'wore', 'out', '.']","['O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-positive', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['it', 'is', 'a', 'little', 'larger', 'and', 'a', 'little', 'longer', 'than', 'i', 'had', 'expected', '.']","['O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'B-length', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O']"
"['it', 'is', 'a', 'little', 'big', 'on', 'me', 'and', 'the', 'cardigan', 'started', 'to', 'pill', 'after', 'a', 'few', 'washes', ',', 'but', 'it', 'is', 'over', 'a', 'year', 'later', 'and', 'i', 'still', 'love', 'it', '!']","['O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['according', 'to', 'modcloth', ""'s"", 'size', 'chart', 'i', 'ordered', 'a', 'medium', ',', 'but', 'i', 'think', 'it', 'looks', 'slightly', 'too', 'baggy', 'for', 'the', 'style', 'cardigan', 'that', 'it', 'is', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['my', 'sweater', 'was', 'quite', 'large', 'in', 'the', 'shoulders', 'and', 'waist', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-shoulder', 'O', 'B-waist', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'B-negative', 'O']"
"['personally', 'for', 'me', ',', 'it', 'just', 'looked', 'long', 'and', 'did', 'not', 'flatter', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-length', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O']"
"['i', 'wanted', 'to', 'wear', 'it', 'over', 'dresses', ';', 'however', ',', 'it', 'looked', 'sloppy', 'on', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O']"
"['i', 'prefer', 'the', 'shorter', ',', 'cropped', 'cardigan', 'mod', 'cloth', 'has', '.']","['O', 'O', 'O', 'B-length_indirect', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['love', 'the', 'color', 'but', 'the', 'fit', 'is', 'a', 'tad', 'big/wide', 'and', 'definitely', 'too', 'long', 'for', 'my', 'short', 'frame', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-overall', 'O', 'O', 'O', 'B-length', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'B-negative', 'O', 'O', 'O', 'O', 'O']"
"['i', 'was', 'hoping', 'for', 'a', 'tighter', 'fit', 'around', 'the', 'waist', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-waist', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-negative', 'O']"
"['however', 'i', 'love', 'the', 'fit', 'and', 'length', 'of', 'the', 'sleeves', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-sleeve', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-positive', 'O']"
